NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
3.07,1.91,0.07,0.57,high,67,35,7.2,21
2.54,1.93,0.21,0.86,high,91,70,8.6,1202
3.28,1.64,0.07,0.56,high,81,77,7.7,1074
2.99,1.9,0.1,0.5,high,92,90,8,516
3.14,1.24,0.91,0.2,high,84,19,7.8,41
0.47,0.55,4.13,0.34,high,81,48,8.7,124
2.71,1.85,0.11,0.81,high,96,42,8.6,2162
2.81,2.19,0,0.47,high,97,14,7.9,764
2.62,1.64,0.99,0.23,high,93,24,8.3,108
2.07,2.29,0.24,0.82,high,66,22,7.1,156
2.73,1.83,0,0.83,high,85,45,7.6,409
1.85,2.5,0.19,0.85,high,93,113,7.9,7064
1.74,1.21,1.87,0.51,high,83,83,7.3,2483
1.62,0.77,2.78,0.14,high,94,22,8.9,779
3.13,1.69,0.03,0.44,high,84,61,6.7,1196
1.92,1.08,2.11,0.17,high,85,45,6.6,400
3.22,1.55,0.01,0.48,high,81,53,5.4,898
3.11,1.55,0.08,0.51,high,90,82,8.8,1305
4.26,0.26,0.01,0.71,high,94,29,8.5,140
2.3,1.34,1.27,0.32,high,84,70,8.1,733
0.65,0.75,3.61,0.2,high,89,63,8.8,245
1.21,2.43,1.03,0.52,high,85,72,8.6,147
1.09,3.47,0.03,0.57,high,90,48,6.1,403
2.44,2.16,0,0.54,high,88,86,4,9629
1.98,2.23,0.13,0.8,high,68,30,7.6,100
3.81,0.63,0,0.68,high,92,69,8.5,112
3.59,1.08,0.05,0.38,high,80,88,6.5,604
1.96,1.41,1.08,0.64,high,84,76,7.5,667
1.85,1.8,0.95,0.48,high,90,57,8,416
0.61,3.28,0.06,1.12,high,89,51,8,233
2.05,1.16,1.11,0.73,high,91,8,9,266
1.7,1.99,0.16,1.18,high,86,50,8,150
3.42,1.38,0.02,0.2,high,92,18,9.2,69
3.49,0.01,0.01,1.48,high,82,24,8.2,46
3.05,1.17,0.29,0.46,high,68,34,7.1,47
3.4,0.99,0.09,0.45,high,93,84,8.5,1655
2.31,1.72,0.12,0.77,high,88,66,8.1,2306
3.98,0.26,0.01,0.66,high,88,29,8,121
2.57,1.68,0,0.58,high,93,82,8.2,3052
1.91,2,0.09,0.82,high,81,40,7.3,769
2.74,1.33,0.12,0.61,high,92,101,8.7,2633
2.57,1.57,0.44,0.21,high,88,20,9,233
2.83,1.48,0,0.45,high,80,9,5.4,46
2.36,2.1,0.02,0.25,high,62,14,7.7,92
2.99,1.27,0.04,0.42,high,94,87,8.7,1472
3.05,1.41,0.02,0.2,high,98,19,7.7,299
1.94,1.95,0.08,0.7,high,82,32,8.2,78
2.29,1.97,0.13,0.24,high,91,13,8.6,147
1.82,1.12,1.32,0.36,high,73,50,7.6,119
2.07,1.71,0.08,0.76,high,86,78,8.1,1264
2.6,0.99,0.89,0.13,high,96,80,8.9,968
3.04,1.11,0,0.43,high,86,36,8.4,87
1.8,1.39,1.11,0.29,high,86,74,8.4,458
2.08,1.97,0.06,0.46,high,91,83,8.2,617
4.18,0.26,0.01,0.08,high,91,30,7.9,78
3.19,0.91,0.01,0.42,high,85,69,7.9,165
3.63,0.24,0.01,0.61,high,84,29,8.2,39
2.78,1.27,0.03,0.41,high,84,101,6.4,2438
2.71,1.51,0.03,0.23,high,76,25,7.9,41
1.61,2,0.15,0.71,high,77,82,3.4,1129
2.71,1.29,0.02,0.43,high,94,75,8.9,997
1.54,1.18,1.46,0.26,high,81,88,8.5,1184
2.52,1.11,0.46,0.33,high,77,61,7.9,471
2.66,1.29,0.01,0.46,high,97,34,7.5,298
0.1,2.39,1.05,0.86,high,86,19,8.9,33
2.82,1.03,0.13,0.4,high,94,90,8.7,1109
2.03,1.79,0.08,0.47,high,82,36,9.1,137
2.64,1.33,0.01,0.39,high,56,37,8.3,31
1.74,1.72,0.14,0.75,high,86,70,8.1,715
2.2,0.58,1.38,0.17,high,87,64,9,766
2.11,1.16,0.73,0.32,high,93,83,9,1607
2.51,1.24,0.11,0.41,high,89,95,6.5,2423
3,1.11,0.05,0.07,high,79,10,7.3,6
2.24,1.31,0.07,0.61,high,91,70,8.9,1122
1.46,0,0.83,1.93,high,91,68,9.3,955
1.41,2.01,0.1,0.7,high,80,39,7.5,613
2.51,1.32,0.01,0.38,high,88,39,6.2,1749
0.92,2.89,0.01,0.4,high,84,41,4.2,435
2.45,1.01,0,0.75,high,85,59,8.7,109
0.78,2.55,0.04,0.84,high,80,32,7.8,47
0.88,2.3,0.2,0.83,high,80,32,7.5,22
1.28,1.82,0.57,0.52,high,80,67,7.1,120
2.25,1.47,0.04,0.43,high,80,77,7.2,564
2.03,1.04,0.58,0.52,high,94,61,7.3,330
3.36,0.21,0.01,0.56,high,95,25,7.7,65
4.03,0,0.09,0,high,96,24,9.1,3161
2.57,1.52,0,0,high,91,46,7.9,785
1.1,2.15,0.21,0.61,high,88,31,8.4,809
2.32,0.04,0.04,1.67,high,93,70,8.9,709
2.66,1.03,0.04,0.33,high,84,81,8.1,769
2.35,1.27,0.03,0.41,high,90,66,8.3,381
2.12,1.47,0.05,0.42,high,56,27,6,44
1.4,1.9,0.11,0.64,high,80,80,6.3,2996
1.68,1.51,0.51,0.35,high,85,25,8.5,117
1.13,2.18,0.1,0.63,high,85,83,7.7,1653
2.67,0.87,0.05,0.38,high,89,76,8.6,681
1.02,2.13,0.23,0.59,high,92,79,9.2,10179
1.19,2.07,0.08,0.62,high,70,40,4.9,2050
1.53,1.69,0.1,0.64,high,87,89,7.6,2679
2.03,1.16,0.37,0.38,high,93,81,8,1958
2.15,1.13,0.07,0.59,high,90,57,8,910
0.9,1.76,0.92,0.37,high,84,65,8.8,72
2.09,1.35,0.06,0.4,high,81,27,8.7,39
2.29,1.17,0.01,0.42,high,90,38,8.7,121
0.68,0.48,2.62,0.11,high,86,80,8.7,348
1.16,2.12,0,0.6,high,94,32,8.1,9073
2.49,0.66,0.03,0.69,high,87,51,6.7,364
0.93,1.94,0.31,0.7,high,88,62,8.6,229
1.53,1.6,0.06,0.67,high,84,9,7.4,220
0.16,1.89,1.12,0.68,high,91,26,9.1,38
2.13,1.12,0.1,0.5,high,76,64,7.9,104
1.78,1.43,0.05,0.57,high,78,49,3.7,1564
0.86,1.56,1.05,0.35,high,59,22,4,4
1.35,1.7,0.15,0.6,high,80,64,7,2219
1.05,1.91,0.41,0.42,high,68,33,6.9,39
