Global_Sales,Critic_Score,User_Score
high,87,6.1
high,83,7
high,83,8.2
high,82,8.2
high,81,8.4
high,79,8
high,78,3.1
high,84,6.1
high,82,7.8
high,73,7.9
high,66,8.2
high,77,6.8
high,82,8.4
high,62,6.2
high,82,8.1
high,91,8.7
high,83,6.1
high,71,6.9
high,62,7.6
high,85,6.4
high,83,8.8
high,42,5.5
high,85,6.8
high,81,8.5
high,73,2.9
high,71,7.2
high,89,9
high,78,6.6
high,84,8.4
high,86,6.2
high,66,6.5
high,84,9.1
high,86,8.5
high,75,5.6
high,76,7.7
high,80,6.7
high,77,8.7
high,78,6.7
high,82,6.9
high,72,7.2
high,76,7.1
high,68,8.2
high,71,6.6
high,81,8.9
high,88,8.9
high,80,8.6
high,76,6.3
high,87,8.2
high,84,9
high,79,5.5
high,80,7.5
high,83,7.8
high,87,8.1
high,74,5.7
high,69,6.7
high,77,7.9
high,74,8
high,79,8
high,80,5.6
high,91,8.2
high,92,8.8
high,84,8.6
high,80,7.6
high,73,7.3
high,71,6.6
high,92,8.1
high,79,5.9
high,92,8.3
high,88,7
high,80,7.9
high,88,8.2
high,94,9.2
high,81,6.1
high,80,6.6
high,81,7.5
high,82,8.9
high,82,5.4
high,80,6.9
high,82,6.3
high,79,7.6
high,66,7.3
high,69,7.6
high,90,6.1
high,83,7.5
high,64,7.5
high,77,9
high,87,7.8
high,62,5.2
high,85,8.2
high,90,6.7
high,89,8.5
high,78,9.3
high,84,4.9
high,81,8.9
high,84,8.7
high,73,5
high,86,8.3
high,83,7.9
high,84,9
high,89,8.1
high,74,7.9
high,85,7.6
high,44,6.2
high,77,7.1
high,80,6.3
high,95,8.5
high,64,7.1
high,72,7.8
high,49,5.2
high,73,7.1
high,71,6.1
high,83,7.9
high,89,8.9
high,88,9.2
high,82,8.6
high,92,8.8
high,72,7.1
high,59,5.9
high,72,9
high,82,8.2
high,73,6
high,78,8.9
high,86,8.2
high,48,3.3
high,86,7.7
high,89,8.1
high,73,7.7
high,62,8.1
high,89,8.7
high,70,7.7
high,81,6.6
high,92,9.1
high,64,6.4
high,89,7.4
high,88,8.8
high,76,7.1
high,71,5.7
high,87,8.8
high,76,7.9
high,75,7.8
high,80,7.6
high,80,6.2
high,56,4.1
high,68,6.6
high,81,8.7
high,85,8.4
high,88,8.3
high,69,7.7
high,67,5
high,93,8.6
high,90,8.8
high,80,8.9
high,71,8.1
high,87,7.7
high,78,6.4
high,87,8
high,77,8.9
high,83,7.6
high,63,8.3
high,93,8.5
high,79,8.5
high,72,7.5
high,86,6
high,88,8
high,57,6.3
high,80,9.2
high,92,7.4
high,84,7.5
high,83,6.5
high,86,6.4
high,79,7.1
high,69,7.8
high,70,7.8
high,85,4.4
high,74,7.5
high,29,4.6
high,81,8.5
high,88,6.7
high,49,6.6
high,76,4.1
high,78,9.1
high,86,6.7
high,71,8.5
high,74,8.4
high,71,7.9
high,70,7.4
high,73,6.5
high,94,8.1
high,84,8.6
high,76,7.9
high,87,7.8
high,82,7.9
high,80,4.5
high,87,8.5
high,67,8.3
high,80,8.8
high,70,7.5
high,83,8.4
high,72,6
high,89,8.9
high,96,8.9
high,82,8.2
high,94,8
high,68,5.1
high,88,9
high,83,8.3
high,80,6
high,89,7.6
high,87,7.9
high,75,7.3
high,90,8.9
high,85,8.5
high,57,7.6
high,47,6.6
high,87,8.6
high,75,7.4
high,76,7.7
high,84,8.1
high,75,9
high,91,9.3
high,83,8.9
high,84,6.1
high,71,5.7
high,70,8.2
high,84,8
high,80,9.1
high,82,4.9
high,83,8
high,81,7.1
high,83,8
high,65,6.8
high,55,6.2
high,83,8.7
high,55,3.5
high,78,8.3
high,63,6.6
high,92,8.9
high,54,6.5
high,78,8.1
high,78,7.9
high,79,7.1
high,61,5.4
high,82,6.3
high,91,7.6
high,80,7.7
high,88,7.9
high,89,8.9
high,84,9.1
high,83,8.7
high,20,1.9
high,95,8.4
high,87,8.6
high,71,4.5
high,82,8.8
high,94,8.5
high,64,7.1
high,53,6.9
high,64,5.9
high,78,8.5
high,82,7.9
high,92,9.1
high,67,8.5
high,73,7.9
high,93,9.1
high,90,6.8
high,83,8.9
high,87,8.3
high,87,7.9
high,84,7.8
high,94,8.8
high,83,7.9
high,71,9
high,79,8.2
high,44,8
high,93,8.3
high,78,8.7
high,83,9.2
high,81,6.5
high,83,8.3
high,79,7.2
high,72,8.4
high,89,8.8
high,77,8.5
high,56,6.7
high,77,6.3
high,79,8.3
high,68,7.2
high,72,7.6
high,88,8.9
high,83,8.5
high,82,7.5
high,92,9.1
high,70,8.1
high,89,8.8
high,90,8.8
high,88,8.8
high,86,7.8
high,84,8
high,74,3.1
high,83,7.7
high,92,8.4
high,80,7.9
high,77,8.7
high,81,6.7
high,69,8
high,81,8
high,86,9.2
high,83,7.5
high,85,6.7
high,74,6.1
high,53,6.7
high,75,8.2
high,69,6.8
high,85,7.9
high,76,8.2
high,76,7.6
high,66,6.5
high,84,8.2
high,78,6.8
high,90,8.7
high,79,5.4
high,78,5.8
high,72,8
high,80,6.4
high,55,8.6
high,84,8.5
high,79,6.8
high,84,8.1
high,83,8.5
high,38,5.7
high,54,9
high,73,7
high,71,5.7
high,86,8.5
high,79,8
high,74,8.7
high,89,6.9
high,79,8.1
high,74,7.8
high,88,8.2
high,80,8.2
high,69,8.1
high,90,8
high,87,8.6
high,64,7.8
high,82,6.7
high,89,7.9
high,75,7.6
high,38,5
high,83,8.9
high,88,7.6
high,73,7.8
high,76,8.1
high,90,8.6
high,68,8.2
high,69,7.3
high,85,8.6
high,80,6.9
high,76,8.9
high,84,8.3
high,91,7.7
high,63,6.8
high,91,7.9
high,81,6.9
high,67,7
high,79,6.9
high,75,7.7
high,85,6.6
high,57,6.9
high,60,7.8
high,83,7.8
high,68,5.5
high,65,7.1
high,82,7.4
high,85,9
high,75,7.8
high,93,8.6
high,79,7.2
high,86,8.8
high,84,8.4
high,81,8.2
high,85,7.9
high,83,7.7
high,70,6
high,85,8.6
high,73,7.8
high,71,8.3
high,94,8.5
high,59,6.9
high,85,6.5
high,73,7.5
high,74,6.5
high,71,6.8
high,88,8.2
high,91,8.6
high,61,5.7
high,77,7.9
high,71,6.8
high,52,5
high,65,7.6
high,84,8.6
