Platform,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Wii,41.49,29.02,3.77,8.46,82.74
NES,29.08,3.58,6.81,0.77,40.24
Wii,15.85,12.88,3.79,3.31,35.82
Wii,15.75,11.01,3.28,2.96,33
GB,11.27,8.89,10.22,1,31.37
GB,23.2,2.26,4.22,0.58,30.26
DS,11.38,9.23,6.5,2.9,30.01
Wii,14.03,9.2,2.93,2.85,29.02
Wii,14.59,7.06,4.7,2.26,28.62
NES,26.93,0.63,0.28,0.47,28.31
DS,9.07,11,1.93,2.75,24.76
DS,9.81,7.57,4.13,1.92,23.42
GB,9,6.18,7.2,0.71,23.1
Wii,8.94,8.03,3.6,2.15,22.72
Wii,9.09,8.59,2.53,1.79,22
X360,14.97,4.94,0.24,1.67,21.82
PS3,7.01,9.27,0.97,4.14,21.4
PS2,9.43,0.4,0.41,10.57,20.81
SNES,12.78,3.75,3.54,0.55,20.61
DS,4.75,9.26,4.16,2.05,20.22
DS,6.42,4.52,6.04,1.37,18.36
GB,10.83,2.71,4.18,0.42,18.14
NES,9.54,3.44,3.84,0.46,17.28
X360,9.63,5.31,0.06,1.38,16.38
PS2,8.41,5.49,0.47,1.78,16.15
GBA,6.06,3.9,5.38,0.5,15.85
DS,5.57,3.28,5.65,0.82,15.32
DS,3.44,5.36,5.32,1.18,15.3
PS2,6.85,5.09,1.87,1.16,14.98
X360,9.03,4.28,0.13,1.32,14.76
GB,5.89,5.04,3.12,0.59,14.64
X360,9.67,3.73,0.11,1.13,14.64
3DS,5.17,4.05,4.34,0.79,14.35
PS4,5.77,5.81,0.35,2.31,14.24
PS3,4.99,5.88,0.65,2.52,14.03
X360,8.25,4.3,0.07,1.12,13.73
X360,8.52,3.63,0.08,1.29,13.51
PS3,5.54,5.82,0.49,1.62,13.46
PS2,6.99,4.51,0.3,1.3,13.1
Wii,6.75,2.61,2.66,1.02,13.04
PS3,5.98,4.44,0.48,1.83,12.73
DS,2.55,3.52,5.33,0.88,12.27
3DS,4.74,3.91,2.67,0.89,12.21
X360,7.97,2.83,0.13,1.21,12.14
PS4,3.8,5.81,0.36,2.02,11.98
DS,4.4,2.77,3.96,0.77,11.9
N64,6.91,2.85,1.91,0.23,11.89
PS2,3.01,0.01,1.1,7.53,11.66
Wii,6.16,3.4,1.2,0.76,11.52
3DS,4.23,3.37,3.08,0.65,11.33
GB,6.16,2.04,2.69,0.29,11.18
X360,6.76,3.1,0.14,1.03,11.02
PS,4.02,3.87,2.54,0.52,10.95
3DS,4.89,2.99,2.13,0.78,10.79
PS3,2.96,4.88,0.81,2.12,10.77
PS3,4.99,3.69,0.38,1.63,10.69
PS3,4.76,3.76,0.44,1.62,10.57
SNES,5.99,2.15,2.12,0.29,10.55
GBA,4.34,2.65,3.15,0.35,10.49
DS,5.08,3.11,1.25,0.98,10.42
Wii,6.05,3.15,0,1.07,10.26
X360,6.72,2.63,0.04,0.82,10.21
X360,7.03,1.98,0.08,0.78,9.88
N64,5.55,1.94,2.23,0.15,9.87
3DS,3.66,3.07,2.47,0.63,9.82
X360,6.63,2.36,0.04,0.73,9.76
PS,3.01,2.47,3.28,0.96,9.72
PS3,4.09,3.73,0.38,1.38,9.59
Wii,5.84,2.89,0.01,0.78,9.52
PS,3.88,3.42,1.69,0.5,9.49
X360,5.91,2.38,0.13,0.9,9.32
SNES,4.36,1.71,3,0.23,9.3
X360,5.58,2.83,0.02,0.77,9.2
3DS,2.01,2.32,4.36,0.41,9.09
