Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Batman: Arkham Origins,Microsoft,2013,Action,Warner Bros. Interactive Entertainment,1.15,0.56,0,0.17,1.88,74,46,7.5,685,WB Games Montreal,T
Game Party 2,Nintendo,2008,Misc,Midway Games,1.28,0.43,0,0.17,1.88,29,7,4.6,7,Midway,E
Yu-Gi-Oh! Forbidden Memories,Playstation,1999,Role-Playing,Konami Digital Entertainment,1.37,0.44,0,0.08,1.88,,,,,,
Mortal Kombat: Deception,Playstation,2004,Fighting,Midway Games,0.92,0.72,0,0.24,1.88,81,43,8.5,90,Midway,M
Hot Shots Golf 2,Playstation,1999,Sports,Sony Computer Entertainment,0.25,0.12,1.48,0.03,1.88,,,,,,
Medal of Honor: European Assault (All Region sales),Playstation,2005,Shooter,Electronic Arts,0.89,0.69,0.09,0.21,1.88,,,,,,
NBA 2K17,Playstation,2016,Sports,Take-Two Interactive,1.25,0.27,0.02,0.34,1.88,88,47,6.7,162,Visual Concepts,E
Toy Story Mania!,Nintendo,2009,Misc,Disney Interactive Studios,1.04,0.66,0,0.18,1.88,49,15,6.6,13,Papaya Studios,E
WCW Nitro,Playstation,1998,Fighting,THQ,1.42,0.36,0.03,0.07,1.88,,,,,,
High School Musical: Sing It!,Playstation,2007,Misc,Disney Interactive Studios,0.47,0.08,0,1.33,1.87,,,,,,
FIFA 2000,Playstation,1998,Sports,Electronic Arts,0.22,1.47,0.04,0.14,1.87,,,,,,
Madden NFL 25,Playstation,2013,Sports,Electronic Arts,1.6,0.03,0,0.24,1.87,76,19,4.1,91,EA Sports,E
Dynasty Warriors 3,Playstation,2001,Action,THQ,0.53,0.16,1.07,0.1,1.87,78,17,9.1,90,Omega Force,T
The Legend of Zelda: Oracle of Seasons,Nintendo,2001,Adventure,Nintendo,0.87,0.52,0.41,0.06,1.86,,,,,,
Ratchet & Clank Future: A Crack in Time,Playstation,2009,Platform,Sony Computer Entertainment,1.05,0.53,0.03,0.26,1.86,,,,,,
Madden NFL 06,Microsoft,2005,Sports,Electronic Arts,1.75,0.03,0,0.08,1.86,86,39,6.7,41,EA Sports,E
Shrek 2,Playstation,2004,Platform,Activision,1.12,0.69,0.03,0.02,1.86,71,32,8.5,24,"Luxoflux, Inc.",E
Turok 2: Seeds of Evil,Nintendo,1997,Platform,Acclaim Entertainment,1.37,0.41,0.04,0.04,1.86,,,,,,
The Legend of Dragoon,Playstation,1999,Role-Playing,Sony Computer Entertainment,0.94,0.44,0.39,0.1,1.86,74,12,8.4,248,SCEI,T
SingStar,Playstation,2004,Misc,Sony Computer Entertainment,0,1.37,0,0.49,1.86,,,,,,
Star Wars: The Force Unleashed,Nintendo,2008,Action,LucasArts,1.11,0.56,0,0.18,1.86,71,18,7.9,75,Krome Studios,T
NBA Live 2002,Playstation,2001,Sports,Electronic Arts,0.91,0.71,0,0.24,1.86,70,16,7.4,8,Electronic Arts,E
Just Cause 3,Playstation,2015,Action,Square Enix,0.47,1.03,0.07,0.28,1.86,73,42,6.5,403,Avalanche Studios,M
Chrono Cross,Playstation,1999,Role-Playing,SquareSoft,0.62,0.42,0.69,0.12,1.86,94,16,8.1,297,SquareSoft,T
Jak 3,Playstation,2004,Platform,Sony Computer Entertainment,1.33,0.49,0,0.03,1.85,84,55,8.6,246,Naughty Dog,T
Kingdom Hearts: Chain of Memories,Nintendo,2004,Role-Playing,Square Enix,1.26,0.18,0.35,0.06,1.85,76,37,7.9,84,Jupiter Corporation,E
Pinball,Nintendo,1984,Action,Nintendo,0.8,0.19,0.83,0.03,1.85,,,,,,
Max Payne 3,Playstation,2012,Shooter,Take-Two Interactive,0.59,0.89,0.06,0.3,1.85,87,31,7.8,790,Rockstar Studios,M
Gran Turismo Concept 2001 Tokyo,Playstation,2001,Racing,Unknown,0,1.1,0.42,0.33,1.84,,,,,,
LEGO Marvel Super Heroes,Playstation,2013,Action,Warner Bros. Interactive Entertainment,0.77,0.76,0.01,0.29,1.84,82,22,7.9,76,TT Games,E10+
Phineas and Ferb,Nintendo,2009,Action,Disney Interactive Studios,1.32,0.37,0,0.15,1.84,80,4,4.5,8,Altron,E
NCAA Football 06,Playstation,2005,Sports,Electronic Arts,1.53,0.05,0,0.25,1.84,87,25,8.5,36,EA Sports,E
"Hey You, Pikachu!",Nintendo,1998,Simulation,Nintendo,0.83,0.06,0.93,0,1.83,,,,,,
Rayman Raving Rabbids 2,Nintendo,2007,Misc,Ubisoft,0.82,0.82,0,0.2,1.83,67,25,8.3,66,Ubisoft Montpellier,E10+
2 Games in 1: Sonic Advance & ChuChu Rocket!,Nintendo,2005,Misc,THQ,1.31,0.49,0,0.03,1.83,,,,,,
Jet Moto,Playstation,1996,Racing,Sony Computer Entertainment,1.33,0.4,0.03,0.07,1.83,,,,,,
Kirby: Triple Deluxe,Nintendo,2014,Platform,Nintendo,0.61,0.34,0.79,0.09,1.83,80,68,8.8,206,HAL Labs,E
Secret of Mana,Nintendo,1993,Role-Playing,SquareSoft,0.25,0.07,1.49,0.02,1.83,,,,,,
GoldenEye 007 (2010),Nintendo,2010,Action,Activision,0.84,0.7,0.13,0.16,1.83,,,,,,
Sonic Classic Collection,Nintendo,2010,Platform,Sega,0.92,0.73,0,0.17,1.83,70,24,7.5,28,Creative Assembly,E
Air Combat,Playstation,1995,Simulation,Sony Computer Entertainment,0.92,0.33,0.52,0.05,1.83,,,,,,
Diablo III,Playstation,2014,Role-Playing,Activision,0.51,0.98,0.06,0.28,1.82,,,,,Blizzard Entertainment,M
inFAMOUS 2,Playstation,2011,Action,Sony Computer Entertainment,1.05,0.47,0.08,0.22,1.82,83,90,8.4,932,Sucker Punch,T
Namco Museum,Playstation,2001,Misc,Namco Bandai Games,1.73,0.07,0,0.02,1.82,72,9,6,5,Mass Media,E
Demon's Souls,Playstation,2009,Role-Playing,Namco Bandai Games,0.97,0.33,0.35,0.17,1.82,89,81,8.9,1441,From Software,M
The Orange Box,Microsoft,2007,Shooter,Electronic Arts,1.09,0.53,0.02,0.17,1.82,96,54,8.9,797,Valve Software,M
DDRMAX2: Dance Dance Revolution,Playstation,2003,Simulation,Konami Digital Entertainment,1.05,0.59,0,0.18,1.81,82,27,8.2,11,Konami,E
Virtua Fighter 4,Playstation,2002,Fighting,Sega,0.78,0.44,0.56,0.04,1.81,94,36,8,84,Sega AM2,T
Mafia III,Playstation,2016,Action,Take-Two Interactive,0.42,1.08,0.03,0.28,1.81,68,66,5.1,1147,Hangar 13,M
Sly 2: Band of Thieves,Playstation,2004,Platform,Sony Computer Entertainment,0.88,0.69,0,0.23,1.81,88,64,9,178,Sucker Punch,E
Guitar Hero: World Tour,Playstation,2008,Misc,Activision,1,0.03,0,0.77,1.8,,,8,13,BudCat,T
Sonic Advance 2,Nintendo,2002,Platform,Sega,0.93,0.59,0.21,0.07,1.8,83,23,8.3,46,Dimps Corporation,E
Madden NFL 07,Microsoft,2006,Sports,Electronic Arts,1.66,0,0.01,0.13,1.8,80,54,6,148,EA Tiburon,E
NFL GameDay 2000,Playstation,1999,Sports,989 Studios,1,0.68,0,0.12,1.8,,,,,,
NBA 2K11,Playstation,2010,Action,Take-Two Interactive,1.41,0.2,0.03,0.16,1.8,89,46,7.6,105,Visual Concepts,E
Forza Motorsport 6,Microsoft,2015,Racing,Microsoft Game Studios,0.73,0.9,0.03,0.14,1.8,87,85,7.9,863,Turn 10,E
The Evil Within,Playstation,2014,Action,Bethesda Softworks,0.55,0.86,0.11,0.27,1.79,75,65,7.3,1223,Tango Gameworks,M
Metroid Prime 3: Corruption,Nintendo,2007,Shooter,Nintendo,0.89,0.74,0.07,0.09,1.79,90,62,8.9,491,Retro Studios,T
The Legend of Zelda: The Wind Waker,Nintendo,2013,Action,Nintendo,0.92,0.6,0.14,0.14,1.79,,,,,,
Disney's The Lion King,Nintendo,1994,Platform,Virgin Interactive,1.26,0.39,0.08,0.06,1.79,,,,,,
Professor Layton and the Mask of Miracle,Nintendo,2011,Puzzle,Nintendo,0.32,0.97,0.36,0.13,1.79,,,,,,
Midnight Club II,Playstation,2003,Racing,Take-Two Interactive,1.25,0.29,0,0.24,1.78,85,41,8.5,47,Rockstar San Diego,T
SpongeBob SquarePants: SuperSponge,Playstation,2001,Action,THQ,1.12,0.58,0,0.08,1.78,,,,,,
The Getaway: Black Monday,Playstation,2004,Action,Sony Computer Entertainment,0.39,1.01,0.02,0.36,1.78,57,53,7.6,47,SCEE London Studio,M
50 Cent: Bulletproof,Playstation,2005,Action,Vivendi Games,0.85,0.76,0,0.16,1.77,47,21,6.6,129,Genuine Games,M
Final Fantasy II,Nintendo,1991,Role-Playing,Square,0.24,0.09,1.33,0.12,1.77,,,,,,
Kirby 64: The Crystal Shards,Nintendo,2000,Platform,Nintendo,0.63,0.06,1.03,0.04,1.77,,,,,,
Dead or Alive 3,Microsoft,2001,Fighting,Microsoft Game Studios,1.19,0.29,0.24,0.06,1.77,87,35,8.6,44,Team Ninja,T
Dragon Quest Monsters: Joker,Nintendo,2006,Role-Playing,Square Enix,0.23,0.02,1.49,0.02,1.76,75,30,7.4,27,TOSE,E10+
LEGO Star Wars III: The Clone Wars,Nintendo,2011,Action,LucasArts,1.01,0.6,0,0.15,1.76,76,7,7.7,10,Traveller's Tales,E10+
High School Musical: Sing It!,Nintendo,2007,Misc,Disney Interactive Studios,1.15,0.45,0,0.16,1.76,,,,,,
Metroid II: Return of Samus,Nintendo,1991,Adventure,Nintendo,0.85,0.31,0.56,0.04,1.76,,,,,,
WWF Attitude,Playstation,1998,Fighting,Acclaim Entertainment,1.27,0.42,0,0.07,1.76,,,,,,
UFC 2009 Undisputed,Playstation,2009,Fighting,THQ,1.07,0.44,0.01,0.24,1.76,84,58,8.1,47,THQ,T
The SpongeBob SquarePants Movie,Playstation,2004,Platform,THQ,1.06,0.54,0,0.16,1.76,75,5,9,54,Heavy Iron Studios,E
Golden Sun,Nintendo,2001,Role-Playing,Nintendo,0.93,0.38,0.4,0.06,1.76,91,29,9.3,198,Camelot Software Planning,E
Kid Icarus,Nintendo,1986,Platform,Nintendo,0.53,0.12,1.09,0.02,1.76,,,,,,
Def Jam: Fight for NY,Playstation,2004,Fighting,Electronic Arts,0.86,0.67,0,0.22,1.76,83,46,8.9,73,Aki Corp.,M
Tom Clancy's Ghost Recon,Microsoft,2002,Shooter,Ubisoft,1.23,0.46,0,0.07,1.76,84,29,6.1,27,Red Storm Entertainment,M
State of Emergency,Playstation,2002,Action,Take-Two Interactive,0.86,0.67,0,0.22,1.76,71,34,5.7,33,VIS Entertainment,M
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,Nintendo,2007,Action,THQ,1.26,0.47,0,0.03,1.76,,,,,,
The Urbz: Sims in the City,Playstation,2004,Simulation,Electronic Arts,0.52,0.95,0,0.29,1.76,70,25,8.2,24,Maxis,T
Star Wars: Starfighter,Playstation,2001,Simulation,Activision,0.61,0.87,0.02,0.26,1.76,84,25,8,21,LucasArts,T
Madden NFL 2000,Playstation,1998,Sports,Electronic Arts,1.68,0.04,0,0.04,1.75,,,,,,
Star Wars: Battlefront,Microsoft,2004,Shooter,Activision,1.24,0.45,0,0.07,1.75,80,55,9.1,57,Pandemic Studios,T
Pro Evolution Soccer,Playstation,2001,Sports,Konami Digital Entertainment,0.06,0.9,0.53,0.27,1.75,,,,,,
Madden NFL 17,Playstation,2016,Sports,Electronic Arts,1.25,0.17,0,0.32,1.75,82,35,4.9,83,EA Sports,E
Just Cause 2,Playstation,2010,Action,Square Enix,0.45,0.92,0.06,0.32,1.75,83,66,8,291,Avalanche Studios,M
Disney's Aladdin,Nintendo,1993,Platform,Capcom,0.94,0.34,0.21,0.27,1.75,,,,,,
Kirby's Adventure,Nintendo,1993,Platform,Nintendo,0.79,0.14,0.8,0.02,1.75,,,,,,
Yoshi,Nintendo,1991,Puzzle,Nintendo,0.7,0.13,0.91,0.01,1.75,,,,,,
The Elder Scrolls Online,Playstation,2015,Role-Playing,Bethesda Softworks,0.67,0.79,0,0.29,1.75,,,,,,
FIFA Soccer 08,Playstation,2007,Sports,Electronic Arts,0.35,1.06,0.02,0.31,1.75,81,28,7.1,47,EA Canada,E
Crackdown,Microsoft,2007,Shooter,Microsoft Game Studios,1,0.53,0.03,0.18,1.75,83,75,8,340,Realtime Worlds,M
Wii Party U,Nintendo,2013,Misc,Nintendo,0.3,0.56,0.84,0.05,1.75,65,38,6.8,135,Nd Cube,E
Dance Dance Revolution X,Playstation,2008,Simulation,Konami Digital Entertainment,0.85,0.66,0.01,0.22,1.75,55,6,6.2,6,Konami,E10+
2 Games in 1: Disney Princess & The Lion King,Nintendo,2004,Misc,THQ,1.25,0.46,0,0.03,1.75,,,,,,
Kingdom Hearts,Playstation,2013,Role-Playing,Square Enix,0.9,0.35,0.25,0.24,1.74,,,,,,
Star Wars Episode I: The Phantom Menace,Playstation,1999,Adventure,LucasArts,0.72,0.89,0.04,0.1,1.74,,,,,,
Xenosaga Episode I: Der Wille zur Macht,Playstation,2002,Role-Playing,Namco Bandai Games,0.63,0.49,0.45,0.17,1.74,83,35,8.7,99,Monolith Soft,T
Watch Dogs,Playstation,2014,Action,Ubisoft,0.56,0.81,0.1,0.27,1.74,,,5.1,383,Ubisoft Montreal,M
Kinect Star Wars,Microsoft,2012,Action,Microsoft Game Studios,1.05,0.52,0.03,0.14,1.74,55,61,3.5,145,Terminal Reality,T
Dragon's Dogma,Playstation,2012,Role-Playing,Capcom,0.41,0.44,0.72,0.17,1.74,78,38,8.3,444,Capcom,M
Cruis'n USA,Nintendo,1996,Racing,Nintendo,1.69,0.04,0,0.01,1.74,,,,,,
Madden NFL 99,Playstation,1998,Sports,Electronic Arts,1.66,0.04,0,0.04,1.74,,,,,,
The Order: 1886,Playstation,2015,Shooter,Sony Computer Entertainment,0.61,0.78,0.06,0.27,1.74,63,94,6.6,3172,"Ready at Dawn, SCE Santa Monica",M
SSX Tricky,Playstation,2001,Sports,Electronic Arts,0.85,0.66,0,0.22,1.73,92,33,8.9,71,EA Canada,E
Knack,Playstation,2013,Platform,Sony Computer Entertainment Europe,0.43,0.68,0.42,0.2,1.73,54,83,6.5,1074,SCE Japan Studio,E10+
Twisted Metal III,Playstation,1998,Action,989 Studios,1.48,0.2,0,0.05,1.73,,,,,,
Harry Potter and the Sorcerer's Stone,Nintendo,2001,Action,Electronic Arts,0.94,0.62,0.1,0.07,1.73,,,,,,
Dragon Quest VI: Realms of Revelation,Nintendo,2010,Role-Playing,Nintendo,0.2,0.14,1.35,0.03,1.73,78,41,8.1,31,ArtePiazza,T
Crash Bandicoot: The Huge Adventure,Nintendo,2002,Platform,Universal Interactive,0.95,0.7,0,0.08,1.73,78,18,7.9,27,Vicarious Visions,E
Hitman: Absolution,Microsoft,2012,Action,Square Enix,0.68,0.88,0.01,0.17,1.73,79,51,7.1,453,Io Interactive,M
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,Playstation,2003,Action,Take-Two Interactive,0.85,0.66,0,0.22,1.72,,,,,,
The Crew,Playstation,2014,Racing,Ubisoft,0.35,1.08,0.03,0.26,1.72,61,60,5.4,575,"Ubisoft Reflections, Ivory Tower",T
Call of Duty: World at War Final Fronts,Playstation,2008,Shooter,Activision,0.61,0.18,0,0.94,1.72,,,,,,
NBA 2K15,Microsoft,2014,Sports,Take-Two Interactive,1.37,0.18,0,0.18,1.72,82,9,6.3,101,Visual Concepts,E
Madden NFL 2005,Microsoft,2004,Sports,Electronic Arts,1.61,0.03,0,0.08,1.72,91,39,7.6,26,EA Tiburon,E
Star Ocean: Till The End of Time,Playstation,2003,Role-Playing,Ubisoft,0.8,0.21,0.55,0.15,1.72,80,55,7.7,134,Tri-Ace,T
Dishonored,Microsoft,2012,Action,Bethesda Softworks,1.06,0.5,0.01,0.14,1.71,88,56,7.9,815,Arkane Studios,M
Toy Story 2: Buzz Lightyear to the Rescue!,Playstation,1998,Platform,Activision,0.99,0.64,0,0.08,1.71,,,,,,
The Beatles: Rock Band,Nintendo,2009,Misc,MTV Games,1.17,0.39,0,0.15,1.71,89,25,8.9,43,Harmonix Music Systems,T
Ace Combat 5: The Unsung War,Playstation,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,84,57,9.1,81,Namco,T
Need for Speed Underground,Microsoft,2003,Racing,Electronic Arts,1.09,0.55,0,0.07,1.71,83,25,8.7,35,Electronic Arts,E
Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,Nintendo,2006,Misc,Nintendo,0,0,1.71,0,1.71,,,,,,
Tetris Worlds,Nintendo,2001,Puzzle,THQ,1.25,0.39,0,0.06,1.71,65,10,tbd,,3d6 Games,E
Imagine: Teacher,Nintendo,2008,Simulation,Ubisoft,0.7,0.82,0,0.19,1.71,,,tbd,,Magic Pockets,E
Call of Duty: Black Ops 3,Microsoft,2015,Shooter,Activision,1.14,0.4,0,0.16,1.71,,,,,,
Deal or No Deal,Nintendo,2007,Misc,Mindscape,1.15,0.4,0,0.15,1.7,20,13,1.9,41,Artefacts Studio,E
FIFA Soccer 10,Playstation,2009,Sports,Electronic Arts,0.23,0.24,0,1.23,1.7,,,8.4,9,EA Sports,E
Portal 2,Playstation,2011,Shooter,Valve,0.83,0.6,0.02,0.24,1.7,95,54,8.4,937,Valve Software,E10+
Super Puyo Puyo,Nintendo,1993,Puzzle,Banpresto,0,0,1.69,0.01,1.7,,,,,,
NCAA Football 07,Playstation,2006,Sports,Electronic Arts,1.41,0.05,0,0.23,1.7,87,18,8.6,23,EA Sports,E
No Man's Sky,Playstation,2016,Action,Hello Games,0.63,0.76,0.03,0.27,1.7,71,94,4.5,5096,Hello Games,T
Ben 10: Protector of Earth,Nintendo,2007,Action,D3Publisher,0.68,0.82,0,0.19,1.7,,,,,,
Cabela's Big Game Hunter 2010,Nintendo,2009,Sports,Activision Value,1.58,0,0,0.12,1.69,,,7.8,4,Activision,T
SOCOM 3: U.S. Navy SEALs,Playstation,2005,Shooter,Sony Computer Entertainment,1.22,0.34,0.04,0.1,1.69,82,59,8.8,64,Zipper Interactive,M
BioShock Infinite,Playstation,2013,Shooter,Take-Two Interactive,0.72,0.65,0.04,0.28,1.69,94,27,8.5,1863,Irrational Games,M
Jampack Winter '99,Playstation,1999,Misc,Sony Computer Entertainment,0.94,0.64,0,0.11,1.69,,,,,,
Call of Duty: Black Ops 3,Playstation,2015,Shooter,Activision,0.49,0.87,0.07,0.26,1.69,,,,,,
WCW vs. nWo: World Tour,Nintendo,1997,Fighting,THQ,1.37,0.28,0.03,0.02,1.69,,,,,,
WCW/NWO Thunder,Playstation,1998,Fighting,THQ,1.1,0.48,0.04,0.07,1.69,,,,,,
Harry Potter and the Sorcerer's Stone,Nintendo,2001,Action,Electronic Arts,0.87,0.66,0.08,0.08,1.69,64,8,7.1,7,Griptonite Games,E
Dragon Ball Z: The Legacy of Goku,Nintendo,2002,Role-Playing,Infogrames,1.52,0.12,0,0.05,1.69,53,15,6.9,28,Webfoot Technologies,E
Cooking Mama 3: Shop & Chop,Nintendo,2009,Simulation,505 Games,0.79,0.65,0.08,0.17,1.69,,,,,,
Personal Trainer: Math,Nintendo,2007,Puzzle,Nintendo,0.48,1.12,0,0.08,1.69,63,11,tbd,,Jupiter Corporation,E
Game Party 3,Nintendo,2009,Puzzle,Warner Bros. Interactive Entertainment,1.4,0.16,0,0.12,1.68,37,4,tbd,,Farsight Studios,E
Need For Speed: Undercover,Microsoft,2008,Racing,Electronic Arts,0.79,0.7,0.01,0.18,1.68,64,62,5.9,104,EA Vancouver,T
World Championship Poker: Featuring Howard Lederer - All In,Playstation,2006,Misc,Oxygen Interactive,0.82,0.64,0,0.22,1.68,,,,,,
NFL GameDay 98,Playstation,1997,Sports,Sony Computer Entertainment,1.58,0.06,0,0.04,1.68,,,,,,
Sonic Colors,Nintendo,2010,Platform,Sega,0.92,0.6,0.01,0.15,1.68,78,58,8.5,301,Sonic Team,E
Saints Row 2,Playstation,2008,Action,THQ,0.88,0.54,0.02,0.25,1.68,82,50,7.9,135,Volition Inc.,M
Yoshi's Cookie,Nintendo,1992,Puzzle,Nintendo,0.59,0.24,0.82,0.03,1.68,,,,,,
Time Crisis,Playstation,1997,Shooter,Namco Bandai Games,0.38,0.87,0.33,0.1,1.68,,,,,,
 Fire Emblem Fates,Nintendo,2015,Role-Playing,Nintendo,0.81,0.23,0.52,0.11,1.68,,,,,,
Metroid Fusion,Nintendo,2002,Action,Nintendo,1.18,0.27,0.17,0.06,1.68,92,44,9.1,200,Nintendo,E
We Ski,Nintendo,2008,Sports,Namco Bandai Games,0.97,0.4,0.14,0.15,1.67,67,32,8.5,12,Bandai Namco Games,E
Star Wars Battlefront: Renegade Squadron,Playstation,2007,Shooter,LucasArts,0.9,0.46,0,0.32,1.67,73,35,7.9,46,Rebellion,T
SSX 3,Playstation,2003,Sports,Electronic Arts,0.93,0.52,0,0.22,1.67,93,41,9.1,125,EA Canada,E
Madden NFL 2001,Playstation,2000,Sports,Electronic Arts,1.58,0.05,0,0.04,1.67,90,14,6.8,4,EA Sports,E
Star Wars: Battlefront II,Microsoft,2005,Shooter,Activision,1.22,0.39,0,0.06,1.67,83,40,8.9,106,Pandemic Studios,T
Disney's DuckTales,Nintendo,1989,Platform,Capcom,0.91,0.3,0.42,0.04,1.67,,,,,,
Tony Hawk's Pro Skater 3,Playstation,2001,Sports,Activision,1.09,0.49,0.02,0.07,1.67,87,10,8.3,36,Shaba Games,E
"Monsters, Inc.",Nintendo,2001,Adventure,THQ,0.59,0.95,0.03,0.1,1.67,,,tbd,,Artificial Mind and Movement,E
PGR: Project Gotham Racing 2,Microsoft,2003,Racing,Microsoft Game Studios,0.97,0.59,0.04,0.07,1.67,,,,,,
Dragon Age: Origins,Playstation,2009,Role-Playing,Electronic Arts,0.96,0.42,0.08,0.21,1.67,87,41,7.9,597,BioWare,M
Spy Hunter,Playstation,2001,Racing,Midway Games,1.13,0.32,0,0.22,1.67,84,28,7.8,13,Paradigm Entertainment,T
NCAA Football 2004,Playstation,2003,Sports,Electronic Arts,1.35,0.09,0,0.23,1.67,94,15,8.8,81,EA Sports,E
Fight Night Round 3,Playstation,2006,Fighting,Electronic Arts,0.81,0.58,0.01,0.26,1.67,83,37,7.9,24,EA Chicago,T
SpongeBob SquarePants: Battle for Bikini Bottom,Playstation,2003,Platform,THQ,1.08,0.45,0,0.14,1.67,71,9,9,85,Heavy Iron Studios,E
Until Dawn,Playstation,2015,Adventure,Sony Computer Entertainment Europe,0.45,0.9,0.05,0.26,1.66,79,103,8.2,2161,SuperMassive Games,M
Big Beach Sports,Nintendo,2008,Sports,THQ,0.45,1.02,0,0.2,1.66,44,17,8,41,HB Studios Multimedia,E
SSX,Playstation,2000,Sports,Electronic Arts,0.78,0.61,0.06,0.2,1.66,93,35,8.3,33,EA Sports Big,E
Shaun White Snowboarding: Road Trip,Nintendo,2008,Sports,Ubisoft,0.93,0.56,0,0.16,1.66,78,28,8.7,22,Ubisoft,E10+
NBA Ballers,Playstation,2004,Sports,Midway Games,0.81,0.63,0,0.21,1.66,83,44,9.2,19,Midway,E
Saints Row IV,Microsoft,2013,Action,Deep Silver,1.01,0.5,0.01,0.13,1.66,81,42,6.5,325,Volition Inc.,M
NBA Live 2003,Playstation,2002,Sports,Electronic Arts,1.25,0.15,0.03,0.22,1.66,83,22,8.3,28,EA Canada,E
LEGO Batman 2: DC Super Heroes,Microsoft,2012,Action,Warner Bros. Interactive Entertainment,0.9,0.61,0,0.15,1.66,79,59,7.2,114,TT Games,E10+
Dragon Ball Z: Budokai Tenkaichi,Playstation,2005,Fighting,Atari,0.96,0.12,0.54,0.04,1.66,72,29,8.4,71,Spike,T
Dark Souls III,Playstation,2016,Role-Playing,Namco Bandai Games,0.65,0.45,0.34,0.22,1.65,89,69,8.8,1940,From Software,M
Kirby's Return to Dreamland,Nintendo,2011,Platform,Nintendo,0.58,0.21,0.79,0.07,1.65,77,49,8.5,156,HAL Labs,E10+
Super Scope 6,Nintendo,1991,Shooter,Nintendo,1.06,0.38,0.15,0.05,1.65,,,,,,
Star Wars The Clone Wars: Lightsaber Duels,Nintendo,2008,Action,LucasArts,1.21,0.3,0,0.14,1.65,56,24,6.7,18,Krome Studios,T
Need for Speed Carbon,Microsoft,2006,Racing,Electronic Arts,0.76,0.69,0.02,0.18,1.65,77,52,6.3,82,EA Canada,E10+
Heavenly Sword,Playstation,2007,Action,Sony Computer Entertainment,0.57,0.72,0.06,0.29,1.65,79,64,8.3,544,Ninja Theory,T
Dragon Quest V: Tenkuu no Hanayome,Playstation,2004,Role-Playing,Enix Corporation,0,0,1.65,0,1.65,,,,,,
MySims,Nintendo,2007,Simulation,Electronic Arts,0.9,0.54,0.04,0.17,1.65,68,38,7.2,56,EA Redwood Shores,E
Kirby & the Amazing Mirror,Nintendo,2004,Platform,Nintendo,0.8,0.05,0.76,0.03,1.64,,,,,,
Army of Two,Microsoft,2008,Shooter,Electronic Arts,1.09,0.37,0.02,0.16,1.64,72,76,7.6,233,EA Montreal,M
Tom Clancy's Rainbow Six,Playstation,1999,Shooter,Red Storm Entertainment,0.93,0.63,0,0.08,1.64,,,,,,
Ghosts 'n Goblins,Nintendo,1986,Action,Capcom,0.74,0.26,0.61,0.03,1.64,,,,,,
Tiger Woods PGA Tour 2003,Playstation,2002,Sports,Electronic Arts,0.8,0.63,0,0.21,1.64,88,18,8.9,18,EA Sports,E
NBA Live 06 (All region sales),Playstation,2005,Sports,Electronic Arts,1.44,0.15,0,0.05,1.64,,,,,,
Prince of Persia: Warrior Within,Playstation,2004,Action,Ubisoft,0.54,0.88,0,0.22,1.64,83,51,8.5,120,Ubisoft Montreal,M
Far Cry 4,Microsoft,2014,Shooter,Ubisoft,0.8,0.69,0.01,0.14,1.63,82,15,7.5,383,Ubisoft Montreal,M
ESPN NFL 2K5,Microsoft,2004,Sports,Sega,1.54,0.02,0,0.07,1.63,92,42,9.1,93,Visual Concepts,E
Beyond: Two Souls,Playstation,2013,Adventure,Sony Computer Entertainment,0.52,0.8,0.06,0.26,1.63,70,98,8.1,2652,Quantic Dream,M
Tiger Woods PGA Tour 2004,Playstation,2003,Sports,Electronic Arts,1.18,0.34,0,0.1,1.63,89,23,8.8,40,EA Sports,E
NBA 2K15,Microsoft,2014,Sports,Take-Two Interactive,1.35,0.11,0,0.17,1.63,,,3,40,Visual Concepts,E
Ape Escape,Playstation,1999,Platform,Sony Computer Entertainment,0.71,0.48,0.32,0.11,1.63,90,19,8.8,53,SCEI,E
NCAA Football 2005,Playstation,2004,Sports,Electronic Arts,1.32,0.09,0,0.22,1.62,88,29,8.8,35,EA Tiburon,E
Max Payne 3,Microsoft,2012,Shooter,Take-Two Interactive,0.86,0.62,0.01,0.13,1.62,86,80,7.8,869,Rockstar Studios,M
Viva Pinata,Microsoft,2006,Simulation,Microsoft Game Studios,0.45,0.95,0.02,0.2,1.62,84,65,8,131,Rare Ltd.,E
Tony Hawk's American Wasteland (Old all region sales),Playstation,2005,Sports,Activision,0.8,0.63,0.01,0.19,1.62,,,,,,
Kinectimals,Microsoft,2010,Simulation,Microsoft Game Studios,1.02,0.46,0,0.13,1.62,74,50,3.1,69,Frontier Developments,E
LEGO Marvel Super Heroes,Playstation,2013,Action,Warner Bros. Interactive Entertainment,0.59,0.76,0.01,0.26,1.62,83,22,7.7,262,TT Games,E10+
Sled Storm,Playstation,1998,Racing,Electronic Arts,0.9,0.61,0,0.11,1.62,,,,,,
